Year;Factor;X0.4;X5.9;X10.14;X15.19;X20.24;X25.29;X30.34;X35.39;X40.44;X45.49;X50.54;X55.59;X60.64;X65.69;X70.74;X75.79;X80.and.over;Total
2034;Total;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2035;Male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2035;Female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2035;Total;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2036;Male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2036;Female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2036;Total;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2037;Male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2037;Female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2037;Total;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2038;Male;105100;110000;113900;116300;120200;135300;140600;144800;158200;160100;132300;116100;112100;124700;120200;113700;170500;2194100
2038;Female;99600;103900;107400;109100;109300;125300;133700;138000;147800;152400;134000;122600;121500;138500;133600;129700;224800;2231200
2038;Total;204700;213900;221300;225400;229500;260600;274300;282800;306000;312500;266300;238700;233600;263200;253800;243400;395300;4425300
