Year,Region,Factor,0.4,5.9,10.14,15.19,20.24,25.29,30.34,35.39,40.44,45.49,50.54,55.59,60.64,65.69,70.74,75.79,80 and over,Total
2006,Capital and Coast,Male,9290,8840,9050,9730,11610,10680,10670,10940,10720,9450,7920,7320,5360,4240,3230,2560,2770,134380
2006,Capital and Coast,Female,9030,8540,8690,10180,12800,11190,11890,11930,11430,9950,8470,7580,5620,4670,3580,3160,4850,143560
2006,Wairarapa,Total,2560,2730,3010,2770,1680,1690,2150,2580,2830,3060,2910,2830,2290,1950,1520,1370,1650,39580
2006,Wairarapa,Male,1270,1380,1520,1440,890,800,1020,1210,1380,1470,1450,1410,1150,950,760,610,590,19300
2006,Wairarapa,Female,1280,1350,1490,1330,790,890,1120,1370,1450,1590,1460,1430,1140,1000,760,770,1060,20280
2006,Nelson Marlborough,Total,8000,8600,9580,9030,6290,6600,8240,9540,10460,10890,9700,9560,7400,5850,4640,3950,5290,133620
2006,Nelson Marlborough,Male,4040,4480,4980,4720,3340,3240,4050,4550,5000,5340,4810,4770,3740,2930,2260,1810,2030,66090
2006,Nelson Marlborough,Female,3960,4120,4600,4310,2950,3360,4190,4990,5460,5560,4890,4790,3660,2920,2380,2140,3260,67540
2006,West Coast,Total,1950,2070,2490,2060,1470,1620,1950,2290,2660,2720,2380,2240,1730,1440,1070,860,1100,32100
2006,West Coast,Male,1040,1060,1270,1080,790,790,920,1090,1330,1420,1300,1170,880,750,570,410,420,16290
2006,West Coast,Female,910,1010,1220,980,680,830,1040,1200,1320,1300,1080,1070,850,690,500,440,680,15800
2006,Canterbury,Total,30480,30660,32660,34780,35090,29570,33180,36830,37210,35560,31440,29330,22040,18400,14690,13600,17840,483360
2006,Canterbury,Male,15460,15620,16720,17970,18030,14510,15800,17820,18050,17540,15490,14440,10910,8840,6880,6030,6400,236510
2006,Canterbury,Female,15020,15050,15940,16810,17050,15060,17380,19010,19160,18020,15950,14880,11140,9550,7810,7570,11440,246840
2006,South Canterbury,Total,3030,3520,4050,3780,2310,2350,3070,3640,4150,4260,4000,3930,3060,2810,2380,2140,2630,55110
2006,South Canterbury,Male,1580,1830,2110,1950,1220,1170,1490,1750,1960,2080,2040,2010,1500,1330,1150,980,930,27080
2006,South Canterbury,Female,1450,1690,1940,1830,1090,1180,1570,1900,2190,2180,1950,1920,1560,1480,1230,1160,1690,28010
2006,Southern,Total,17290,17900,19510,23090,24200,17470,19010,20070,22000,21990,19490,18110,13720,11960,9620,8420,10740,294590
2006,Southern,Male,8850,9180,10130,11610,11910,8660,9360,9640,10770,10870,9930,9110,6940,5910,4570,3890,3700,145030
2006,Southern,Female,8440,8720,9380,11490,12290,8810,9660,10430,11230,11130,9560,9000,6770,6050,5040,4530,7030,149560
2006,Area outside DHB,Total,5,10,10,15,20,30,35,30,30,55,55,50,55,20,20,10,0,450
2006,Area outside DHB,Male,0,10,5,10,15,20,25,20,20,35,35,35,30,15,10,10,0,295
2006,Area outside DHB,Female,5,0,5,5,5,10,10,5,10,25,20,15,20,5,10,0,0,150
