Year;Factor;0.4;5.9;10.14;15.19;20.24;25.29;30.34;35.39;40.44;45.49;50.54;55.59;60.64;65.69;70.74;75.79;80 and over;Total;Ethnicity
1967;Total;0;0;0;0;0;0;0;0;1;1;1;4;7;2;1;0;2;19;Maori
1968;Male;0;0;0;0;0;0;0;0;0;0;1;2;3;2;0;0;1;9;Maori
1968;Female;0;0;0;0;0;0;0;0;0;0;4;1;2;4;0;2;0;13;Maori
1968;Total;0;0;0;0;0;0;0;0;0;0;5;3;5;6;0;2;1;22;Maori
1969;Male;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;2;0;5;Maori
1969;Female;0;0;0;0;0;0;2;0;1;0;1;1;3;3;2;1;0;14;Maori
1969;Total;0;0;0;0;0;0;2;1;1;0;2;1;4;3;2;3;0;19;Maori
1970;Male;0;0;0;0;0;0;0;1;0;2;0;0;0;2;2;1;0;8;Maori
1970;Female;0;0;0;0;0;0;2;1;2;1;0;2;2;2;0;0;1;13;Maori
1970;Total;0;0;0;0;0;0;2;2;2;3;0;2;2;4;2;1;1;21;Maori
1971;Male;0;0;0;0;2;1;1;0;1;3;1;2;0;0;2;0;0;13;Maori
1971;Female;0;0;0;0;0;1;0;1;0;1;1;2;4;1;2;2;0;15;Maori
1971;Total;0;0;0;0;2;2;1;1;1;4;2;4;4;1;4;2;0;28;Maori
1972;Male;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;4;Maori
1972;Female;0;0;0;1;0;0;1;0;0;1;2;1;4;3;2;0;1;16;Maori
1972;Total;0;0;0;1;0;0;1;0;0;1;2;1;5;3;2;1;3;20;Maori
1973;Male;0;0;0;0;0;0;1;1;0;2;1;0;1;0;1;1;0;8;Maori
1973;Female;0;0;0;0;0;0;1;0;2;1;1;2;3;1;1;1;0;13;Maori
1973;Total;0;0;0;0;0;0;2;1;2;3;2;2;4;1;2;2;0;21;Maori
1974;Male;0;0;0;0;0;0;0;0;1;2;1;1;2;0;1;0;1;9;Maori
1974;Female;0;0;0;0;0;0;0;1;0;0;1;2;1;1;2;4;1;13;Maori
1974;Total;0;0;0;0;0;0;0;1;1;2;2;3;3;1;3;4;2;22;Maori
1975;Male;0;0;0;0;0;0;0;1;0;2;1;0;1;2;0;1;1;9;Maori
1975;Female;0;0;0;0;0;0;0;1;1;1;0;3;5;1;3;1;3;19;Maori
1975;Total;0;0;0;0;0;0;0;2;1;3;1;3;6;3;3;2;4;28;Maori
1976;Male;0;0;0;0;0;0;0;0;0;2;3;0;0;1;0;1;1;8;Maori
1976;Female;0;0;0;0;0;0;3;0;0;1;2;0;1;2;2;1;0;12;Maori
1976;Total;0;0;0;0;0;0;3;0;0;3;5;0;1;3;2;2;1;20;Maori
1977;Male;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;1;6;Maori
1977;Female;0;0;0;0;0;0;0;0;2;2;0;1;1;4;2;1;0;13;Maori
1977;Total;0;0;0;0;0;0;0;0;2;3;0;2;1;5;3;2;1;19;Maori
1978;Male;0;0;0;0;0;0;0;2;0;1;1;0;0;0;0;0;0;4;Maori
1978;Female;0;0;0;0;0;0;0;1;0;3;0;0;4;4;0;1;0;13;Maori
1978;Total;0;0;0;0;0;0;0;3;0;4;1;0;4;4;0;1;0;17;Maori
1979;Male;0;0;0;0;0;0;0;1;2;2;0;0;2;0;0;1;0;8;Maori
1979;Female;0;0;0;0;1;1;0;0;0;1;0;2;2;1;6;1;1;16;Maori
1979;Total;0;0;0;0;1;1;0;1;2;3;0;2;4;1;6;2;1;24;Maori
1980;Male;0;0;0;0;0;0;1;1;2;0;0;2;2;2;0;0;1;11;Maori
1980;Female;0;0;0;0;0;0;0;0;0;0;1;1;2;4;2;3;0;13;Maori
1980;Total;0;0;0;0;0;0;1;1;2;0;1;3;4;6;2;3;1;24;Maori
1981;Male;0;0;0;0;0;0;1;2;1;0;0;3;1;0;1;1;0;10;Maori
1981;Female;0;0;0;0;0;0;0;1;0;2;3;1;2;2;1;1;2;15;Maori
1981;Total;0;0;0;0;0;0;1;3;1;2;3;4;3;2;2;2;2;25;Maori
1982;Male;0;0;0;0;0;0;1;0;0;0;1;1;2;3;0;1;0;9;Maori
1982;Female;0;0;0;0;0;0;0;0;0;1;0;0;4;3;2;0;1;11;Maori
1982;Total;0;0;0;0;0;0;1;0;0;1;1;1;6;6;2;1;1;20;Maori
1983;Male;0;0;0;0;0;0;1;2;1;1;2;0;1;0;1;1;1;11;Maori
1983;Female;0;0;0;0;0;1;1;0;1;2;1;1;3;2;2;1;2;17;Maori
1983;Total;0;0;0;0;0;1;2;2;2;3;3;1;4;2;3;2;3;28;Maori
1984;Male;0;0;0;0;0;0;0;3;0;0;0;0;0;3;1;2;1;10;Maori
1984;Female;0;0;0;0;0;0;0;3;0;1;0;3;1;1;2;2;1;14;Maori
1984;Total;0;0;0;0;0;0;0;6;0;1;0;3;1;4;3;4;2;24;Maori
1985;Male;0;0;0;0;0;0;0;0;2;1;1;3;3;3;1;0;2;16;Maori
1985;Female;0;0;0;0;0;0;0;0;2;1;1;3;3;3;1;0;2;16;Maori
1985;Total;0;0;0;0;0;0;0;0;4;2;2;6;6;6;2;0;4;32;Maori
1986;Male;0;0;0;0;0;0;0;1;1;0;1;2;0;3;1;1;1;11;Maori
1986;Female;0;0;0;0;0;0;0;2;0;2;3;1;0;2;2;0;1;13;Maori
1986;Total;0;0;0;0;0;0;0;3;1;2;4;3;0;5;3;1;2;24;Maori
1987;Male;0;0;0;0;0;0;0;1;2;0;1;1;1;0;1;2;1;10;Maori
1987;Female;0;0;0;0;0;0;1;1;0;1;1;3;0;1;0;3;0;11;Maori
1987;Total;0;0;0;0;0;0;1;2;2;1;2;4;1;1;1;5;1;21;Maori
1988;Male;0;0;0;0;0;0;0;0;0;1;1;2;1;0;2;2;0;9;Maori
1988;Female;0;0;0;0;0;0;0;0;1;3;1;0;3;1;3;0;2;14;Maori
