"","type","sep","file","ethn","issue","dep","country","geog"
"363","n",",","data/numerator/mortnotraymontammaorinat.csv","Maori","Mortality - Raymont Non-Amenable",NA,"New Zealand","National"
"364","n",",","data/numerator/mortnotraymontamnonmaorinat.csv","Non-Maori","Mortality - Raymont Non-Amenable",NA,"New Zealand","National"
"365","n",",","data/numerator/mortraymontampacificnat.csv","Pacific","Mortality - Raymont Amenable",NA,"New Zealand","National"
"366","n",",","data/numerator/mortraymontamnonpacificnat.csv","Non-Pacific","Mortality - Raymont Amenable",NA,"New Zealand","National"
"367","n",",","data/numerator/mortraymontamasiannat.csv","Asian","Mortality - Raymont Amenable",NA,"New Zealand","National"
"368","n",",","data/numerator/mortraymontamnonasiannat.csv","Non-Asian","Mortality - Raymont Amenable",NA,"New Zealand","National"
"369","n",",","data/numerator/mortraymontamnonpacificnonmaorinat.csv","Non-Pacific-Non-Maori","Mortality - Raymont Amenable",NA,"New Zealand","National"
"370","n",",","data/numerator/mortnotraymontampacificnat.csv","Pacific","Mortality - Raymont Non-Amenable",NA,"New Zealand","National"
"371","n",",","data/numerator/mortnotraymontamnonpacificnat.csv","Non-Pacific","Mortality - Raymont Non-Amenable",NA,"New Zealand","National"
"372","n",",","data/numerator/mortnotraymontamasiannat.csv","Asian","Mortality - Raymont Non-Amenable",NA,"New Zealand","National"
"373","n",",","data/numerator/mortnotraymontamnonasiannat.csv","Non-Asian","Mortality - Raymont Non-Amenable",NA,"New Zealand","National"
"374","n",",","data/numerator/mortnotraymontamnonpacificnonmaorinat.csv","Non-Pacific-Non-Maori","Mortality - Raymont Non-Amenable",NA,"New Zealand","National"
"375","n",",","data/numerator/morttobiastotalnat.csv","Total","Mortality - Tobias Amenable",NA,"New Zealand","National"
"376","n",",","data/numerator/morttobiasmaorinat.csv","Maori","Mortality - Tobias Amenable",NA,"New Zealand","National"
"377","n",",","data/numerator/morttobiasnonmaorinat.csv","Non-Maori","Mortality - Tobias Amenable",NA,"New Zealand","National"
"378","n",",","data/numerator/mortnottobiastotalnat.csv","Total","Mortality - Tobias Non-Amenable",NA,"New Zealand","National"
"379","n",",","data/numerator/mortnottobiasmaorinat.csv","Maori","Mortality - Tobias Non-Amenable",NA,"New Zealand","National"
"380","n",",","data/numerator/mortnottobiasnonmaorinat.csv","Non-Maori","Mortality - Tobias Non-Amenable",NA,"New Zealand","National"
"381","n",",","data/numerator/morttobiaspacificnat.csv","Pacific","Mortality - Tobias Amenable",NA,"New Zealand","National"
"382","n",",","data/numerator/morttobiasnonpacificnat.csv","Non-Pacific","Mortality - Tobias Amenable",NA,"New Zealand","National"
"383","n",",","data/numerator/morttobiasasiannat.csv","Asian","Mortality - Tobias Amenable",NA,"New Zealand","National"
"384","n",",","data/numerator/morttobiasnonasiannat.csv","Non-Asian","Mortality - Tobias Amenable",NA,"New Zealand","National"
"385","n",",","data/numerator/morttobiasnonpacificnonmaorinat.csv","Non-Pacific-Non-Maori","Mortality - Tobias Amenable",NA,"New Zealand","National"
"386","n",",","data/numerator/mortnottobiaspacificnat.csv","Pacific","Mortality - Tobias Non-Amenable",NA,"New Zealand","National"
"387","n",",","data/numerator/mortnottobiasnonpacificnat.csv","Non-Pacific","Mortality - Tobias Non-Amenable",NA,"New Zealand","National"
"388","n",",","data/numerator/mortnottobiasasiannat.csv","Asian","Mortality - Tobias Non-Amenable",NA,"New Zealand","National"
"389","n",",","data/numerator/mortnottobiasnonasiannat.csv","Non-Asian","Mortality - Tobias Non-Amenable",NA,"New Zealand","National"
"390","n",",","data/numerator/mortnottobiasnonpacificnonmaorinat.csv","Non-Pacific-Non-Maori","Mortality - Tobias Non-Amenable",NA,"New Zealand","National"
"391","n",",","data/numerator/mortmohtotalnat.csv","Total","Mortality - MoH Amenable",NA,"New Zealand","National"
"392","n",",","data/numerator/mortmohmaorinat.csv","Maori","Mortality - MoH Amenable",NA,"New Zealand","National"
"393","n",",","data/numerator/mortmohnonmaorinat.csv","Non-Maori","Mortality - MoH Amenable",NA,"New Zealand","National"
"394","n",",","data/numerator/mortnotmohtotalnat.csv","Total","Mortality - MoH Non-Amenable",NA,"New Zealand","National"
"395","n",",","data/numerator/mortnotmohmaorinat.csv","Maori","Mortality - MoH Non-Amenable",NA,"New Zealand","National"
"396","n",",","data/numerator/mortnotmohnonmaorinat.csv","Non-Maori","Mortality - MoH Non-Amenable",NA,"New Zealand","National"
"397","n",",","data/numerator/mortmohpacificnat.csv","Pacific","Mortality - MoH Amenable",NA,"New Zealand","National"
"398","n",",","data/numerator/mortmohnonpacificnat.csv","Non-Pacific","Mortality - MoH Amenable",NA,"New Zealand","National"
"399","n",",","data/numerator/mortmohasiannat.csv","Asian","Mortality - MoH Amenable",NA,"New Zealand","National"
"400","n",",","data/numerator/mortmohnonasiannat.csv","Non-Asian","Mortality - MoH Amenable",NA,"New Zealand","National"
"401","n",",","data/numerator/mortmohnonpacificnonmaorinat.csv","Non-Pacific-Non-Maori","Mortality - MoH Amenable",NA,"New Zealand","National"
"402","n",",","data/numerator/mortnotmohpacificnat.csv","Pacific","Mortality - MoH Non-Amenable",NA,"New Zealand","National"
"403","n",",","data/numerator/mortnotmohnonpacificnat.csv","Non-Pacific","Mortality - MoH Non-Amenable",NA,"New Zealand","National"
"404","n",",","data/numerator/mortnotmohasiannat.csv","Asian","Mortality - MoH Non-Amenable",NA,"New Zealand","National"
"405","n",",","data/numerator/mortnotmohnonasiannat.csv","Non-Asian","Mortality - MoH Non-Amenable",NA,"New Zealand","National"
"406","n",",","data/numerator/mortnotmohnonpacificnonmaorinat.csv","Non-Pacific-Non-Maori","Mortality - MoH Non-Amenable",NA,"New Zealand","National"
"407","n",";","data/numerator/gastric08totalnat.csv","Total","Cancer - Gastric Death",NA,"New Zealand","National"
"408","n",";","data/numerator/gastric08maorinat.csv","Maori","Cancer - Gastric Death",NA,"New Zealand","National"
"409","n",";","data/numerator/gastric08nonmaorinat.csv","Non-Maori","Cancer - Gastric Death",NA,"New Zealand","National"
"410","n",",","data/numerator/gastric08totalnatinc.csv","Total","Cancer - Gastric Incidence",NA,"New Zealand","National"
"411","n",",","data/numerator/gastric08maorinatinc.csv","Maori","Cancer - Gastric Incidence",NA,"New Zealand","National"
"412","n",",","data/numerator/gastric08nonmaorinatinc.csv","Non-Maori","Cancer - Gastric Incidence",NA,"New Zealand","National"
"413","n",",","data/numerator/priority12totalnat.csv","Total","Cancer - Priority",NA,"New Zealand","National"
"414","n",",","data/numerator/priority12maorinat.csv","Maori","Cancer - Priority",NA,"New Zealand","National"
"415","n",";","data/numerator/priority12nonmaorinat.csv","Non-Maori","Cancer - Priority",NA,"New Zealand","National"
"416","d",";","data/denominator/popestdisc95totalnat.csv","Total",NA,NA,"New Zealand","National"
"417","d",";","data/denominator/popestdisc90maorinat.csv","Maori",NA,NA,"New Zealand","National"
"418","d",";","data/denominator/popestdisc90nonmaorinat.csv","Non-Maori",NA,NA,"New Zealand","National"
"419","d",";","data/denominator/popest91totalnat.csv","Total",NA,NA,"New Zealand","National"
"420","d",";","data/denominator/popest91maorinat.csv","Maori",NA,NA,"New Zealand","National"
"421","d",";","data/denominator/popest91nonmaorinat.csv","Non-Maori",NA,NA,"New Zealand","National"
"422","d",";","data/denominator/popcentotalnat.csv","Total",NA,NA,"New Zealand","National"
"423","d",";","data/denominator/popcenmaorinat.csv","Maori",NA,NA,"New Zealand","National"
"424","d",";","data/denominator/popcennonmaorinat.csv","Non-Maori",NA,NA,"New Zealand","National"
"425","d",";","data/denominator/popcenpacificnat.csv","Pacific",NA,NA,"New Zealand","National"
"426","d",";","data/denominator/popcenasiannat.csv","Asian",NA,NA,"New Zealand","National"
"427","d",";","data/denominator/poptotalreg.csv","Total",NA,NA,"New Zealand","Regional Council"
"428","d",";","data/denominator/poptotaltla.csv","Total",NA,NA,"New Zealand","TLA"
"429","d",";","data/denominator/poptotaldhb.csv","Total",NA,NA,"New Zealand","DHB"
"430","n",",","data/numerator/morttotalreg.csv","Total","Mortality - Total",NA,"New Zealand","Regional Council"
"431","n",",","data/numerator/mortmaorireg.csv","Maori","Mortality - Total",NA,"New Zealand","Regional Council"
"432","n",",","data/numerator/mortnonmaorireg.csv","Non-Maori","Mortality - Total",NA,"New Zealand","Regional Council"
"433","n",",","data/numerator/morttotaltla.csv","Total","Mortality - Total",NA,"New Zealand","TLA"
"434","n",",","data/numerator/mortmaoritla.csv","Maori","Mortality - Total",NA,"New Zealand","TLA"
"435","n",",","data/numerator/mortnonmaoritla.csv","Non-Maori","Mortality - Total",NA,"New Zealand","TLA"
"436","n",",","data/numerator/morttotaldhb.csv","Total","Mortality - Total",NA,"New Zealand","DHB"
"437","n",",","data/numerator/mortmaoridhb.csv","Maori","Mortality - Total",NA,"New Zealand","DHB"
"438","n",",","data/numerator/mortnonmaoridhb.csv","Non-Maori","Mortality - Total",NA,"New Zealand","DHB"
