"","type","sep","file","ethn","issue","dep","country","geog"
"104","n",",","data/numerator/dep/mort3dep06notpearcetotalnat.csv","Total","Mortality - Pearce Non-Amenable","3","New Zealand","National"
"105","n",",","data/numerator/dep/mort4dep06notpearcetotalnat.csv","Total","Mortality - Pearce Non-Amenable","4","New Zealand","National"
"106","n",",","data/numerator/dep/mort5dep06notpearcetotalnat.csv","Total","Mortality - Pearce Non-Amenable","5","New Zealand","National"
"107","n",",","data/numerator/dep/mort6dep06notpearcetotalnat.csv","Total","Mortality - Pearce Non-Amenable","6","New Zealand","National"
"108","n",",","data/numerator/dep/mort7dep06notpearcetotalnat.csv","Total","Mortality - Pearce Non-Amenable","7","New Zealand","National"
"109","n",",","data/numerator/dep/mort8dep06notpearcetotalnat.csv","Total","Mortality - Pearce Non-Amenable","8","New Zealand","National"
"110","n",",","data/numerator/dep/mort9dep06notpearcetotalnat.csv","Total","Mortality - Pearce Non-Amenable","9","New Zealand","National"
"111","n",",","data/numerator/dep/mort10dep06notpearcetotalnat.csv","Total","Mortality - Pearce Non-Amenable","10","New Zealand","National"
"112","n",",","data/numerator/dep/mort12dep06notpearcetotalnat.csv","Total","Mortality - Pearce Non-Amenable","12","New Zealand","National"
"113","n",",","data/numerator/dep/mort34dep06notpearcetotalnat.csv","Total","Mortality - Pearce Non-Amenable","34","New Zealand","National"
"114","n",",","data/numerator/dep/mort56dep06notpearcetotalnat.csv","Total","Mortality - Pearce Non-Amenable","56","New Zealand","National"
"115","n",",","data/numerator/dep/mort78dep06notpearcetotalnat.csv","Total","Mortality - Pearce Non-Amenable","78","New Zealand","National"
"116","n",",","data/numerator/dep/mort910dep06notpearcetotalnat.csv","Total","Mortality - Pearce Non-Amenable","910","New Zealand","National"
"117","n",",","data/numerator/dep/mort1dep06notpearcemaorinat.csv","Maori","Mortality - Pearce Non-Amenable","1","New Zealand","National"
"118","n",",","data/numerator/dep/mort2dep06notpearcemaorinat.csv","Maori","Mortality - Pearce Non-Amenable","2","New Zealand","National"
"119","n",",","data/numerator/dep/mort3dep06notpearcemaorinat.csv","Maori","Mortality - Pearce Non-Amenable","3","New Zealand","National"
"120","n",",","data/numerator/dep/mort4dep06notpearcemaorinat.csv","Maori","Mortality - Pearce Non-Amenable","4","New Zealand","National"
"121","n",",","data/numerator/dep/mort5dep06notpearcemaorinat.csv","Maori","Mortality - Pearce Non-Amenable","5","New Zealand","National"
"122","n",",","data/numerator/dep/mort6dep06notpearcemaorinat.csv","Maori","Mortality - Pearce Non-Amenable","6","New Zealand","National"
"123","n",",","data/numerator/dep/mort7dep06notpearcemaorinat.csv","Maori","Mortality - Pearce Non-Amenable","7","New Zealand","National"
"124","n",",","data/numerator/dep/mort8dep06notpearcemaorinat.csv","Maori","Mortality - Pearce Non-Amenable","8","New Zealand","National"
"125","n",",","data/numerator/dep/mort9dep06notpearcemaorinat.csv","Maori","Mortality - Pearce Non-Amenable","9","New Zealand","National"
"126","n",",","data/numerator/dep/mort10dep06notpearcemaorinat.csv","Maori","Mortality - Pearce Non-Amenable","10","New Zealand","National"
"127","n",",","data/numerator/dep/mort12dep06notpearcemaorinat.csv","Maori","Mortality - Pearce Non-Amenable","12","New Zealand","National"
"128","n",",","data/numerator/dep/mort34dep06notpearcemaorinat.csv","Maori","Mortality - Pearce Non-Amenable","34","New Zealand","National"
"129","n",",","data/numerator/dep/mort56dep06notpearcemaorinat.csv","Maori","Mortality - Pearce Non-Amenable","56","New Zealand","National"
"130","n",",","data/numerator/dep/mort78dep06notpearcemaorinat.csv","Maori","Mortality - Pearce Non-Amenable","78","New Zealand","National"
"131","n",",","data/numerator/dep/mort910dep06notpearcemaorinat.csv","Maori","Mortality - Pearce Non-Amenable","910","New Zealand","National"
"132","n",",","data/numerator/dep/mort1dep06notpearcenonmaorinat.csv","Non-Maori","Mortality - Pearce Non-Amenable","1","New Zealand","National"
"133","n",",","data/numerator/dep/mort2dep06notpearcenonmaorinat.csv","Non-Maori","Mortality - Pearce Non-Amenable","2","New Zealand","National"
"134","n",",","data/numerator/dep/mort3dep06notpearcenonmaorinat.csv","Non-Maori","Mortality - Pearce Non-Amenable","3","New Zealand","National"
"135","n",",","data/numerator/dep/mort4dep06notpearcenonmaorinat.csv","Non-Maori","Mortality - Pearce Non-Amenable","4","New Zealand","National"
"136","n",",","data/numerator/dep/mort5dep06notpearcenonmaorinat.csv","Non-Maori","Mortality - Pearce Non-Amenable","5","New Zealand","National"
"137","n",",","data/numerator/dep/mort6dep06notpearcenonmaorinat.csv","Non-Maori","Mortality - Pearce Non-Amenable","6","New Zealand","National"
"138","n",",","data/numerator/dep/mort7dep06notpearcenonmaorinat.csv","Non-Maori","Mortality - Pearce Non-Amenable","7","New Zealand","National"
"139","n",",","data/numerator/dep/mort8dep06notpearcenonmaorinat.csv","Non-Maori","Mortality - Pearce Non-Amenable","8","New Zealand","National"
"140","n",",","data/numerator/dep/mort9dep06notpearcenonmaorinat.csv","Non-Maori","Mortality - Pearce Non-Amenable","9","New Zealand","National"
"141","n",",","data/numerator/dep/mort10dep06notpearcenonmaorinat.csv","Non-Maori","Mortality - Pearce Non-Amenable","10","New Zealand","National"
"142","n",",","data/numerator/dep/mort12dep06notpearcenonmaorinat.csv","Non-Maori","Mortality - Pearce Non-Amenable","12","New Zealand","National"
"143","n",",","data/numerator/dep/mort34dep06notpearcenonmaorinat.csv","Non-Maori","Mortality - Pearce Non-Amenable","34","New Zealand","National"
"144","n",",","data/numerator/dep/mort56dep06notpearcenonmaorinat.csv","Non-Maori","Mortality - Pearce Non-Amenable","56","New Zealand","National"
"145","n",",","data/numerator/dep/mort78dep06notpearcenonmaorinat.csv","Non-Maori","Mortality - Pearce Non-Amenable","78","New Zealand","National"
"146","n",",","data/numerator/dep/mort910dep06notpearcenonmaorinat.csv","Non-Maori","Mortality - Pearce Non-Amenable","910","New Zealand","National"
"147","n",",","data/numerator/mortpearcetotalnat.csv","Total","Mortality - Pearce Amenable",NA,"New Zealand","National"
"148","n",",","data/numerator/mortpearcemaorinat.csv","Maori","Mortality - Pearce Amenable",NA,"New Zealand","National"
"149","n",",","data/numerator/mortpearcenonmaorinat.csv","Non-Maori","Mortality - Pearce Amenable",NA,"New Zealand","National"
"150","n",",","data/numerator/mortnotpearcetotalnat.csv","Total","Mortality - Pearce Non-Amenable",NA,"New Zealand","National"
"151","n",",","data/numerator/mortnotpearcemaorinat.csv","Maori","Mortality - Pearce Non-Amenable",NA,"New Zealand","National"
"152","n",",","data/numerator/mortnotpearcenonmaorinat.csv","Non-Maori","Mortality - Pearce Non-Amenable",NA,"New Zealand","National"
"153","n",",","data/numerator/mortpearcepacificnat.csv","Pacific","Mortality - Pearce Amenable",NA,"New Zealand","National"
"154","n",",","data/numerator/mortpearcenonpacificnat.csv","Non-Pacific","Mortality - Pearce Amenable",NA,"New Zealand","National"
"155","n",",","data/numerator/mortpearceasiannat.csv","Asian","Mortality - Pearce Amenable",NA,"New Zealand","National"
"156","n",",","data/numerator/mortpearcenonasiannat.csv","Non-Asian","Mortality - Pearce Amenable",NA,"New Zealand","National"
"157","n",",","data/numerator/mortpearcenonpacificnonmaorinat.csv","Non-Pacific-Non-Maori","Mortality - Pearce Amenable",NA,"New Zealand","National"
"158","n",",","data/numerator/mortnotpearcepacificnat.csv","Pacific","Mortality - Pearce Non-Amenable",NA,"New Zealand","National"
"159","n",",","data/numerator/mortnotpearcenonpacificnat.csv","Non-Pacific","Mortality - Pearce Non-Amenable",NA,"New Zealand","National"
"160","n",",","data/numerator/mortnotpearceasiannat.csv","Asian","Mortality - Pearce Non-Amenable",NA,"New Zealand","National"
"161","n",",","data/numerator/mortnotpearcenonasiannat.csv","Non-Asian","Mortality - Pearce Non-Amenable",NA,"New Zealand","National"
"162","n",",","data/numerator/mortnotpearcenonpacificnonmaorinat.csv","Non-Pacific-Non-Maori","Mortality - Pearce Non-Amenable",NA,"New Zealand","National"
"163","n",",","data/numerator/dep/mort1dep06raymontavtotalnat.csv","Total","Mortality - Raymont Avoidable","1","New Zealand","National"
"164","n",",","data/numerator/dep/mort2dep06raymontavtotalnat.csv","Total","Mortality - Raymont Avoidable","2","New Zealand","National"
"165","n",",","data/numerator/dep/mort3dep06raymontavtotalnat.csv","Total","Mortality - Raymont Avoidable","3","New Zealand","National"
"166","n",",","data/numerator/dep/mort4dep06raymontavtotalnat.csv","Total","Mortality - Raymont Avoidable","4","New Zealand","National"
"167","n",",","data/numerator/dep/mort5dep06raymontavtotalnat.csv","Total","Mortality - Raymont Avoidable","5","New Zealand","National"
"168","n",",","data/numerator/dep/mort6dep06raymontavtotalnat.csv","Total","Mortality - Raymont Avoidable","6","New Zealand","National"
"169","n",",","data/numerator/dep/mort7dep06raymontavtotalnat.csv","Total","Mortality - Raymont Avoidable","7","New Zealand","National"
"170","n",",","data/numerator/dep/mort8dep06raymontavtotalnat.csv","Total","Mortality - Raymont Avoidable","8","New Zealand","National"
"171","n",",","data/numerator/dep/mort9dep06raymontavtotalnat.csv","Total","Mortality - Raymont Avoidable","9","New Zealand","National"
"172","n",",","data/numerator/dep/mort10dep06raymontavtotalnat.csv","Total","Mortality - Raymont Avoidable","10","New Zealand","National"
"173","n",",","data/numerator/dep/mort12dep06raymontavtotalnat.csv","Total","Mortality - Raymont Avoidable","12","New Zealand","National"
"174","n",",","data/numerator/dep/mort34dep06raymontavtotalnat.csv","Total","Mortality - Raymont Avoidable","34","New Zealand","National"
"175","n",",","data/numerator/dep/mort56dep06raymontavtotalnat.csv","Total","Mortality - Raymont Avoidable","56","New Zealand","National"
"176","n",",","data/numerator/dep/mort78dep06raymontavtotalnat.csv","Total","Mortality - Raymont Avoidable","78","New Zealand","National"
"177","n",",","data/numerator/dep/mort910dep06raymontavtotalnat.csv","Total","Mortality - Raymont Avoidable","910","New Zealand","National"
"178","n",",","data/numerator/dep/mort1dep06raymontavmaorinat.csv","Maori","Mortality - Raymont Avoidable","1","New Zealand","National"
"179","n",",","data/numerator/dep/mort2dep06raymontavmaorinat.csv","Maori","Mortality - Raymont Avoidable","2","New Zealand","National"
"180","n",",","data/numerator/dep/mort3dep06raymontavmaorinat.csv","Maori","Mortality - Raymont Avoidable","3","New Zealand","National"
"181","n",",","data/numerator/dep/mort4dep06raymontavmaorinat.csv","Maori","Mortality - Raymont Avoidable","4","New Zealand","National"
"182","n",",","data/numerator/dep/mort5dep06raymontavmaorinat.csv","Maori","Mortality - Raymont Avoidable","5","New Zealand","National"
"183","n",",","data/numerator/dep/mort6dep06raymontavmaorinat.csv","Maori","Mortality - Raymont Avoidable","6","New Zealand","National"
"184","n",",","data/numerator/dep/mort7dep06raymontavmaorinat.csv","Maori","Mortality - Raymont Avoidable","7","New Zealand","National"
"185","n",",","data/numerator/dep/mort8dep06raymontavmaorinat.csv","Maori","Mortality - Raymont Avoidable","8","New Zealand","National"
"186","n",",","data/numerator/dep/mort9dep06raymontavmaorinat.csv","Maori","Mortality - Raymont Avoidable","9","New Zealand","National"
"187","n",",","data/numerator/dep/mort10dep06raymontavmaorinat.csv","Maori","Mortality - Raymont Avoidable","10","New Zealand","National"
"188","n",",","data/numerator/dep/mort12dep06raymontavmaorinat.csv","Maori","Mortality - Raymont Avoidable","12","New Zealand","National"
"189","n",",","data/numerator/dep/mort34dep06raymontavmaorinat.csv","Maori","Mortality - Raymont Avoidable","34","New Zealand","National"
"190","n",",","data/numerator/dep/mort56dep06raymontavmaorinat.csv","Maori","Mortality - Raymont Avoidable","56","New Zealand","National"
"191","n",",","data/numerator/dep/mort78dep06raymontavmaorinat.csv","Maori","Mortality - Raymont Avoidable","78","New Zealand","National"
"192","n",",","data/numerator/dep/mort910dep06raymontavmaorinat.csv","Maori","Mortality - Raymont Avoidable","910","New Zealand","National"
"193","n",",","data/numerator/dep/mort1dep06raymontavnonmaorinat.csv","Non-Maori","Mortality - Raymont Avoidable","1","New Zealand","National"
"194","n",",","data/numerator/dep/mort2dep06raymontavnonmaorinat.csv","Non-Maori","Mortality - Raymont Avoidable","2","New Zealand","National"
"195","n",",","data/numerator/dep/mort3dep06raymontavnonmaorinat.csv","Non-Maori","Mortality - Raymont Avoidable","3","New Zealand","National"
"196","n",",","data/numerator/dep/mort4dep06raymontavnonmaorinat.csv","Non-Maori","Mortality - Raymont Avoidable","4","New Zealand","National"
"197","n",",","data/numerator/dep/mort5dep06raymontavnonmaorinat.csv","Non-Maori","Mortality - Raymont Avoidable","5","New Zealand","National"
"198","n",",","data/numerator/dep/mort6dep06raymontavnonmaorinat.csv","Non-Maori","Mortality - Raymont Avoidable","6","New Zealand","National"
"199","n",",","data/numerator/dep/mort7dep06raymontavnonmaorinat.csv","Non-Maori","Mortality - Raymont Avoidable","7","New Zealand","National"
"200","n",",","data/numerator/dep/mort8dep06raymontavnonmaorinat.csv","Non-Maori","Mortality - Raymont Avoidable","8","New Zealand","National"
"201","n",",","data/numerator/dep/mort9dep06raymontavnonmaorinat.csv","Non-Maori","Mortality - Raymont Avoidable","9","New Zealand","National"
"202","n",",","data/numerator/dep/mort10dep06raymontavnonmaorinat.csv","Non-Maori","Mortality - Raymont Avoidable","10","New Zealand","National"
"203","n",",","data/numerator/dep/mort12dep06raymontavnonmaorinat.csv","Non-Maori","Mortality - Raymont Avoidable","12","New Zealand","National"
"204","n",",","data/numerator/dep/mort34dep06raymontavnonmaorinat.csv","Non-Maori","Mortality - Raymont Avoidable","34","New Zealand","National"
"205","n",",","data/numerator/dep/mort56dep06raymontavnonmaorinat.csv","Non-Maori","Mortality - Raymont Avoidable","56","New Zealand","National"
"206","n",",","data/numerator/dep/mort78dep06raymontavnonmaorinat.csv","Non-Maori","Mortality - Raymont Avoidable","78","New Zealand","National"
"207","n",",","data/numerator/dep/mort910dep06raymontavnonmaorinat.csv","Non-Maori","Mortality - Raymont Avoidable","910","New Zealand","National"
"208","n",",","data/numerator/dep/mort1dep06notraymontavtotalnat.csv","Total","Mortality - Raymont Non-Avoidable","1","New Zealand","National"
"209","n",",","data/numerator/dep/mort2dep06notraymontavtotalnat.csv","Total","Mortality - Raymont Non-Avoidable","2","New Zealand","National"
"210","n",",","data/numerator/dep/mort3dep06notraymontavtotalnat.csv","Total","Mortality - Raymont Non-Avoidable","3","New Zealand","National"
"211","n",",","data/numerator/dep/mort4dep06notraymontavtotalnat.csv","Total","Mortality - Raymont Non-Avoidable","4","New Zealand","National"
"212","n",",","data/numerator/dep/mort5dep06notraymontavtotalnat.csv","Total","Mortality - Raymont Non-Avoidable","5","New Zealand","National"
"213","n",",","data/numerator/dep/mort6dep06notraymontavtotalnat.csv","Total","Mortality - Raymont Non-Avoidable","6","New Zealand","National"
"214","n",",","data/numerator/dep/mort7dep06notraymontavtotalnat.csv","Total","Mortality - Raymont Non-Avoidable","7","New Zealand","National"
"215","n",",","data/numerator/dep/mort8dep06notraymontavtotalnat.csv","Total","Mortality - Raymont Non-Avoidable","8","New Zealand","National"
"216","n",",","data/numerator/dep/mort9dep06notraymontavtotalnat.csv","Total","Mortality - Raymont Non-Avoidable","9","New Zealand","National"
"217","n",",","data/numerator/dep/mort10dep06notraymontavtotalnat.csv","Total","Mortality - Raymont Non-Avoidable","10","New Zealand","National"
"218","n",",","data/numerator/dep/mort12dep06notraymontavtotalnat.csv","Total","Mortality - Raymont Non-Avoidable","12","New Zealand","National"
"219","n",",","data/numerator/dep/mort34dep06notraymontavtotalnat.csv","Total","Mortality - Raymont Non-Avoidable","34","New Zealand","National"
"220","n",",","data/numerator/dep/mort56dep06notraymontavtotalnat.csv","Total","Mortality - Raymont Non-Avoidable","56","New Zealand","National"
"221","n",",","data/numerator/dep/mort78dep06notraymontavtotalnat.csv","Total","Mortality - Raymont Non-Avoidable","78","New Zealand","National"
"222","n",",","data/numerator/dep/mort910dep06notraymontavtotalnat.csv","Total","Mortality - Raymont Non-Avoidable","910","New Zealand","National"
"223","n",",","data/numerator/dep/mort1dep06notraymontavmaorinat.csv","Maori","Mortality - Raymont Non-Avoidable","1","New Zealand","National"
"224","n",",","data/numerator/dep/mort2dep06notraymontavmaorinat.csv","Maori","Mortality - Raymont Non-Avoidable","2","New Zealand","National"
"225","n",",","data/numerator/dep/mort3dep06notraymontavmaorinat.csv","Maori","Mortality - Raymont Non-Avoidable","3","New Zealand","National"
"226","n",",","data/numerator/dep/mort4dep06notraymontavmaorinat.csv","Maori","Mortality - Raymont Non-Avoidable","4","New Zealand","National"
"227","n",",","data/numerator/dep/mort5dep06notraymontavmaorinat.csv","Maori","Mortality - Raymont Non-Avoidable","5","New Zealand","National"
"228","n",",","data/numerator/dep/mort6dep06notraymontavmaorinat.csv","Maori","Mortality - Raymont Non-Avoidable","6","New Zealand","National"
"229","n",",","data/numerator/dep/mort7dep06notraymontavmaorinat.csv","Maori","Mortality - Raymont Non-Avoidable","7","New Zealand","National"
"230","n",",","data/numerator/dep/mort8dep06notraymontavmaorinat.csv","Maori","Mortality - Raymont Non-Avoidable","8","New Zealand","National"
"231","n",",","data/numerator/dep/mort9dep06notraymontavmaorinat.csv","Maori","Mortality - Raymont Non-Avoidable","9","New Zealand","National"
"232","n",",","data/numerator/dep/mort10dep06notraymontavmaorinat.csv","Maori","Mortality - Raymont Non-Avoidable","10","New Zealand","National"
"233","n",",","data/numerator/dep/mort12dep06notraymontavmaorinat.csv","Maori","Mortality - Raymont Non-Avoidable","12","New Zealand","National"
"234","n",",","data/numerator/dep/mort34dep06notraymontavmaorinat.csv","Maori","Mortality - Raymont Non-Avoidable","34","New Zealand","National"
"235","n",",","data/numerator/dep/mort56dep06notraymontavmaorinat.csv","Maori","Mortality - Raymont Non-Avoidable","56","New Zealand","National"
"236","n",",","data/numerator/dep/mort78dep06notraymontavmaorinat.csv","Maori","Mortality - Raymont Non-Avoidable","78","New Zealand","National"
"237","n",",","data/numerator/dep/mort910dep06notraymontavmaorinat.csv","Maori","Mortality - Raymont Non-Avoidable","910","New Zealand","National"
"238","n",",","data/numerator/dep/mort1dep06notraymontavnonmaorinat.csv","Non-Maori","Mortality - Raymont Non-Avoidable","1","New Zealand","National"
"239","n",",","data/numerator/dep/mort2dep06notraymontavnonmaorinat.csv","Non-Maori","Mortality - Raymont Non-Avoidable","2","New Zealand","National"
"240","n",",","data/numerator/dep/mort3dep06notraymontavnonmaorinat.csv","Non-Maori","Mortality - Raymont Non-Avoidable","3","New Zealand","National"
"241","n",",","data/numerator/dep/mort4dep06notraymontavnonmaorinat.csv","Non-Maori","Mortality - Raymont Non-Avoidable","4","New Zealand","National"
"242","n",",","data/numerator/dep/mort5dep06notraymontavnonmaorinat.csv","Non-Maori","Mortality - Raymont Non-Avoidable","5","New Zealand","National"
"243","n",",","data/numerator/dep/mort6dep06notraymontavnonmaorinat.csv","Non-Maori","Mortality - Raymont Non-Avoidable","6","New Zealand","National"
"244","n",",","data/numerator/dep/mort7dep06notraymontavnonmaorinat.csv","Non-Maori","Mortality - Raymont Non-Avoidable","7","New Zealand","National"
"245","n",",","data/numerator/dep/mort8dep06notraymontavnonmaorinat.csv","Non-Maori","Mortality - Raymont Non-Avoidable","8","New Zealand","National"
"246","n",",","data/numerator/dep/mort9dep06notraymontavnonmaorinat.csv","Non-Maori","Mortality - Raymont Non-Avoidable","9","New Zealand","National"
"247","n",",","data/numerator/dep/mort10dep06notraymontavnonmaorinat.csv","Non-Maori","Mortality - Raymont Non-Avoidable","10","New Zealand","National"
"248","n",",","data/numerator/dep/mort12dep06notraymontavnonmaorinat.csv","Non-Maori","Mortality - Raymont Non-Avoidable","12","New Zealand","National"
"249","n",",","data/numerator/dep/mort34dep06notraymontavnonmaorinat.csv","Non-Maori","Mortality - Raymont Non-Avoidable","34","New Zealand","National"
"250","n",",","data/numerator/dep/mort56dep06notraymontavnonmaorinat.csv","Non-Maori","Mortality - Raymont Non-Avoidable","56","New Zealand","National"
"251","n",",","data/numerator/dep/mort78dep06notraymontavnonmaorinat.csv","Non-Maori","Mortality - Raymont Non-Avoidable","78","New Zealand","National"
"252","n",",","data/numerator/dep/mort910dep06notraymontavnonmaorinat.csv","Non-Maori","Mortality - Raymont Non-Avoidable","910","New Zealand","National"
"253","n",",","data/numerator/mortraymontavtotalnat.csv","Total","Mortality - Raymont Avoidable",NA,"New Zealand","National"
"254","n",",","data/numerator/mortraymontavmaorinat.csv","Maori","Mortality - Raymont Avoidable",NA,"New Zealand","National"
"255","n",",","data/numerator/mortraymontavnonmaorinat.csv","Non-Maori","Mortality - Raymont Avoidable",NA,"New Zealand","National"
"256","n",",","data/numerator/mortnotraymontavtotalnat.csv","Total","Mortality - Raymont Non-Avoidable",NA,"New Zealand","National"
"257","n",",","data/numerator/mortnotraymontavmaorinat.csv","Maori","Mortality - Raymont Non-Avoidable",NA,"New Zealand","National"
"258","n",",","data/numerator/mortnotraymontavnonmaorinat.csv","Non-Maori","Mortality - Raymont Non-Avoidable",NA,"New Zealand","National"
"259","n",",","data/numerator/mortraymontavpacificnat.csv","Pacific","Mortality - Raymont Avoidable",NA,"New Zealand","National"
"260","n",",","data/numerator/mortraymontavnonpacificnat.csv","Non-Pacific","Mortality - Raymont Avoidable",NA,"New Zealand","National"
"261","n",",","data/numerator/mortraymontavasiannat.csv","Asian","Mortality - Raymont Avoidable",NA,"New Zealand","National"
"262","n",",","data/numerator/mortraymontavnonasiannat.csv","Non-Asian","Mortality - Raymont Avoidable",NA,"New Zealand","National"
"263","n",",","data/numerator/mortraymontavnonpacificnonmaorinat.csv","Non-Pacific-Non-Maori","Mortality - Raymont Avoidable",NA,"New Zealand","National"
"264","n",",","data/numerator/mortnotraymontavpacificnat.csv","Pacific","Mortality - Raymont Non-Avoidable",NA,"New Zealand","National"
"265","n",",","data/numerator/mortnotraymontavnonpacificnat.csv","Non-Pacific","Mortality - Raymont Non-Avoidable",NA,"New Zealand","National"
"266","n",",","data/numerator/mortnotraymontavasiannat.csv","Asian","Mortality - Raymont Non-Avoidable",NA,"New Zealand","National"
"267","n",",","data/numerator/mortnotraymontavnonasiannat.csv","Non-Asian","Mortality - Raymont Non-Avoidable",NA,"New Zealand","National"
"268","n",",","data/numerator/mortnotraymontavnonpacificnonmaorinat.csv","Non-Pacific-Non-Maori","Mortality - Raymont Non-Avoidable",NA,"New Zealand","National"
"269","n",",","data/numerator/dep/mort1dep06raymontamtotalnat.csv","Total","Mortality - Raymont Amenable","1","New Zealand","National"
"270","n",",","data/numerator/dep/mort2dep06raymontamtotalnat.csv","Total","Mortality - Raymont Amenable","2","New Zealand","National"
"271","n",",","data/numerator/dep/mort3dep06raymontamtotalnat.csv","Total","Mortality - Raymont Amenable","3","New Zealand","National"
"272","n",",","data/numerator/dep/mort4dep06raymontamtotalnat.csv","Total","Mortality - Raymont Amenable","4","New Zealand","National"
"273","n",",","data/numerator/dep/mort5dep06raymontamtotalnat.csv","Total","Mortality - Raymont Amenable","5","New Zealand","National"
"274","n",",","data/numerator/dep/mort6dep06raymontamtotalnat.csv","Total","Mortality - Raymont Amenable","6","New Zealand","National"
"275","n",",","data/numerator/dep/mort7dep06raymontamtotalnat.csv","Total","Mortality - Raymont Amenable","7","New Zealand","National"
"276","n",",","data/numerator/dep/mort8dep06raymontamtotalnat.csv","Total","Mortality - Raymont Amenable","8","New Zealand","National"
"277","n",",","data/numerator/dep/mort9dep06raymontamtotalnat.csv","Total","Mortality - Raymont Amenable","9","New Zealand","National"
"278","n",",","data/numerator/dep/mort10dep06raymontamtotalnat.csv","Total","Mortality - Raymont Amenable","10","New Zealand","National"
"279","n",",","data/numerator/dep/mort12dep06raymontamtotalnat.csv","Total","Mortality - Raymont Amenable","12","New Zealand","National"
"280","n",",","data/numerator/dep/mort34dep06raymontamtotalnat.csv","Total","Mortality - Raymont Amenable","34","New Zealand","National"
"281","n",",","data/numerator/dep/mort56dep06raymontamtotalnat.csv","Total","Mortality - Raymont Amenable","56","New Zealand","National"
"282","n",",","data/numerator/dep/mort78dep06raymontamtotalnat.csv","Total","Mortality - Raymont Amenable","78","New Zealand","National"
"283","n",",","data/numerator/dep/mort910dep06raymontamtotalnat.csv","Total","Mortality - Raymont Amenable","910","New Zealand","National"
"284","n",",","data/numerator/dep/mort1dep06raymontammaorinat.csv","Maori","Mortality - Raymont Amenable","1","New Zealand","National"
"285","n",",","data/numerator/dep/mort2dep06raymontammaorinat.csv","Maori","Mortality - Raymont Amenable","2","New Zealand","National"
"286","n",",","data/numerator/dep/mort3dep06raymontammaorinat.csv","Maori","Mortality - Raymont Amenable","3","New Zealand","National"
"287","n",",","data/numerator/dep/mort4dep06raymontammaorinat.csv","Maori","Mortality - Raymont Amenable","4","New Zealand","National"
"288","n",",","data/numerator/dep/mort5dep06raymontammaorinat.csv","Maori","Mortality - Raymont Amenable","5","New Zealand","National"
"289","n",",","data/numerator/dep/mort6dep06raymontammaorinat.csv","Maori","Mortality - Raymont Amenable","6","New Zealand","National"
"290","n",",","data/numerator/dep/mort7dep06raymontammaorinat.csv","Maori","Mortality - Raymont Amenable","7","New Zealand","National"
"291","n",",","data/numerator/dep/mort8dep06raymontammaorinat.csv","Maori","Mortality - Raymont Amenable","8","New Zealand","National"
"292","n",",","data/numerator/dep/mort9dep06raymontammaorinat.csv","Maori","Mortality - Raymont Amenable","9","New Zealand","National"
"293","n",",","data/numerator/dep/mort10dep06raymontammaorinat.csv","Maori","Mortality - Raymont Amenable","10","New Zealand","National"
"294","n",",","data/numerator/dep/mort12dep06raymontammaorinat.csv","Maori","Mortality - Raymont Amenable","12","New Zealand","National"
"295","n",",","data/numerator/dep/mort34dep06raymontammaorinat.csv","Maori","Mortality - Raymont Amenable","34","New Zealand","National"
"296","n",",","data/numerator/dep/mort56dep06raymontammaorinat.csv","Maori","Mortality - Raymont Amenable","56","New Zealand","National"
"297","n",",","data/numerator/dep/mort78dep06raymontammaorinat.csv","Maori","Mortality - Raymont Amenable","78","New Zealand","National"
"298","n",",","data/numerator/dep/mort910dep06raymontammaorinat.csv","Maori","Mortality - Raymont Amenable","910","New Zealand","National"
"299","n",",","data/numerator/dep/mort1dep06raymontamnonmaorinat.csv","Non-Maori","Mortality - Raymont Amenable","1","New Zealand","National"
"300","n",",","data/numerator/dep/mort2dep06raymontamnonmaorinat.csv","Non-Maori","Mortality - Raymont Amenable","2","New Zealand","National"
"301","n",",","data/numerator/dep/mort3dep06raymontamnonmaorinat.csv","Non-Maori","Mortality - Raymont Amenable","3","New Zealand","National"
"302","n",",","data/numerator/dep/mort4dep06raymontamnonmaorinat.csv","Non-Maori","Mortality - Raymont Amenable","4","New Zealand","National"
"303","n",",","data/numerator/dep/mort5dep06raymontamnonmaorinat.csv","Non-Maori","Mortality - Raymont Amenable","5","New Zealand","National"
"304","n",",","data/numerator/dep/mort6dep06raymontamnonmaorinat.csv","Non-Maori","Mortality - Raymont Amenable","6","New Zealand","National"
"305","n",",","data/numerator/dep/mort7dep06raymontamnonmaorinat.csv","Non-Maori","Mortality - Raymont Amenable","7","New Zealand","National"
"306","n",",","data/numerator/dep/mort8dep06raymontamnonmaorinat.csv","Non-Maori","Mortality - Raymont Amenable","8","New Zealand","National"
"307","n",",","data/numerator/dep/mort9dep06raymontamnonmaorinat.csv","Non-Maori","Mortality - Raymont Amenable","9","New Zealand","National"
"308","n",",","data/numerator/dep/mort10dep06raymontamnonmaorinat.csv","Non-Maori","Mortality - Raymont Amenable","10","New Zealand","National"
"309","n",",","data/numerator/dep/mort12dep06raymontamnonmaorinat.csv","Non-Maori","Mortality - Raymont Amenable","12","New Zealand","National"
"310","n",",","data/numerator/dep/mort34dep06raymontamnonmaorinat.csv","Non-Maori","Mortality - Raymont Amenable","34","New Zealand","National"
