"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total","reg","dep"
2009,"Total",1,1,2,1,2,1,1,4,3,3,4,10,8,11,14,16,58,140,"Waikato",2
2010,"Male",2,0,0,0,2,0,1,1,1,2,3,4,2,4,3,14,35,74,"Waikato",2
2010,"Female",2,0,0,1,2,0,0,2,0,0,3,2,2,7,8,5,34,68,"Waikato",2
2010,"Total",4,0,0,1,4,0,1,3,1,2,6,6,4,11,11,19,69,142,"Waikato",2
2011,"Male",1,0,0,2,2,0,0,2,0,1,1,5,4,5,7,12,30,72,"Waikato",2
2011,"Female",2,0,0,0,0,0,0,0,0,2,2,2,2,9,2,3,37,61,"Waikato",2
2011,"Total",3,0,0,2,2,0,0,2,0,3,3,7,6,14,9,15,67,133,"Waikato",2
2012,"Male",0,2,0,0,0,0,0,2,1,2,2,5,3,6,11,12,33,79,"Waikato",2
2012,"Female",3,0,1,0,0,0,1,0,0,3,2,1,1,2,3,6,40,63,"Waikato",2
2012,"Total",3,2,1,0,0,0,1,2,1,5,4,6,4,8,14,18,73,142,"Waikato",2
2013,"Male",3,0,0,2,1,1,0,1,1,2,2,3,3,9,9,13,51,101,"Waikato",2
2013,"Female",1,0,1,0,0,0,0,1,1,2,3,0,2,2,3,7,45,68,"Waikato",2
2013,"Total",4,0,1,2,1,1,0,2,2,4,5,3,5,11,12,20,96,169,"Waikato",2
2006,"Male",0,0,0,0,1,0,0,1,2,1,1,3,4,2,3,7,15,40,"Bay of Plenty",2
2006,"Female",1,0,0,1,0,0,1,1,0,1,2,1,2,5,2,6,28,51,"Bay of Plenty",2
2006,"Total",1,0,0,1,1,0,1,2,2,2,3,4,6,7,5,13,43,91,"Bay of Plenty",2
2007,"Male",1,0,0,1,0,0,0,1,0,2,2,2,4,1,6,4,20,44,"Bay of Plenty",2
2007,"Female",0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,4,28,40,"Bay of Plenty",2
2007,"Total",1,0,0,1,0,0,0,1,0,2,2,3,5,2,11,8,48,84,"Bay of Plenty",2
2008,"Male",1,0,0,0,1,0,0,1,2,1,1,1,1,5,4,7,18,43,"Bay of Plenty",2
2008,"Female",0,0,0,0,0,0,0,0,0,2,1,0,2,0,3,6,29,43,"Bay of Plenty",2
2008,"Total",1,0,0,0,1,0,0,1,2,3,2,1,3,5,7,13,47,86,"Bay of Plenty",2
2009,"Male",2,0,0,1,0,0,0,1,0,0,1,1,3,4,3,5,18,39,"Bay of Plenty",2
2009,"Female",0,0,0,0,1,0,1,0,0,0,0,1,1,3,4,4,56,71,"Bay of Plenty",2
2009,"Total",2,0,0,1,1,0,1,1,0,0,1,2,4,7,7,9,74,110,"Bay of Plenty",2
2010,"Male",1,0,0,0,0,1,0,0,0,0,2,1,4,1,5,4,10,29,"Bay of Plenty",2
2010,"Female",1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,25,35,"Bay of Plenty",2
2010,"Total",2,0,0,0,0,1,0,0,0,0,2,2,5,2,6,9,35,64,"Bay of Plenty",2
2011,"Male",1,0,0,0,1,1,0,0,0,1,1,2,4,4,1,6,20,42,"Bay of Plenty",2
2011,"Female",0,0,0,1,0,0,0,0,0,0,0,3,0,2,2,3,31,42,"Bay of Plenty",2
2011,"Total",1,0,0,1,1,1,0,0,0,1,1,5,4,6,3,9,51,84,"Bay of Plenty",2
2012,"Male",1,0,0,0,0,0,0,2,1,0,1,1,2,3,3,7,28,49,"Bay of Plenty",2
2012,"Female",0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,3,45,57,"Bay of Plenty",2
2012,"Total",1,0,0,0,0,0,0,2,1,0,1,1,3,6,8,10,73,106,"Bay of Plenty",2
2013,"Male",0,0,0,0,0,0,0,0,0,0,0,2,0,2,5,7,27,43,"Bay of Plenty",2
2013,"Female",0,0,0,0,0,0,0,0,1,0,1,2,0,2,3,6,34,49,"Bay of Plenty",2
