"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total","reg","dep"
2010,"Female",0,0,0,0,0,0,0,0,1,0,0,2,4,1,2,4,27,41,"Waikato",1
2010,"Total",1,1,0,1,0,0,0,1,1,2,0,5,6,5,8,13,43,87,"Waikato",1
2011,"Male",1,0,0,0,0,1,0,1,0,3,0,2,2,8,7,6,24,55,"Waikato",1
2011,"Female",0,0,0,0,0,0,0,0,1,1,3,2,1,2,7,4,24,45,"Waikato",1
2011,"Total",1,0,0,0,0,1,0,1,1,4,3,4,3,10,14,10,48,100,"Waikato",1
2012,"Male",0,0,0,0,1,0,0,1,1,1,1,1,1,4,10,5,27,53,"Waikato",1
2012,"Female",2,0,0,0,0,0,0,1,0,1,2,1,2,5,1,6,29,50,"Waikato",1
2012,"Total",2,0,0,0,1,0,0,2,1,2,3,2,3,9,11,11,56,103,"Waikato",1
2013,"Male",0,0,0,0,1,0,0,0,0,2,1,2,5,5,5,5,33,59,"Waikato",1
2013,"Female",1,0,0,0,0,0,0,0,0,0,1,1,2,1,11,5,25,47,"Waikato",1
2013,"Total",1,0,0,0,1,0,0,0,0,2,2,3,7,6,16,10,58,106,"Waikato",1
2006,"Male",1,0,0,0,0,0,0,0,0,0,1,1,2,1,4,2,2,14,"Bay of Plenty",1
2006,"Female",0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,6,7,20,"Bay of Plenty",1
2006,"Total",1,0,0,0,0,0,0,0,0,0,1,1,6,3,5,8,9,34,"Bay of Plenty",1
2007,"Male",0,0,0,0,0,0,0,1,0,0,1,3,1,3,3,2,9,23,"Bay of Plenty",1
2007,"Female",0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,3,8,"Bay of Plenty",1
2007,"Total",0,0,0,0,0,0,0,1,0,0,1,3,2,5,3,4,12,31,"Bay of Plenty",1
2008,"Male",1,0,0,0,0,0,0,0,0,0,0,2,2,4,2,3,5,19,"Bay of Plenty",1
2008,"Female",1,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,8,14,"Bay of Plenty",1
2008,"Total",2,0,0,0,0,0,0,0,0,0,0,3,3,4,5,3,13,33,"Bay of Plenty",1
2009,"Male",0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,2,9,19,"Bay of Plenty",1
