"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total","reg","dep"
2010,"Female",2,0,0,0,0,0,1,0,2,1,0,4,4,4,6,9,87,120,"Auckland",1
2010,"Total",3,0,0,1,0,0,1,0,3,5,2,5,8,11,18,19,148,224,"Auckland",1
2011,"Male",4,0,0,0,0,1,1,0,2,2,0,2,6,7,11,16,54,106,"Auckland",1
2011,"Female",1,0,0,0,0,0,0,0,0,2,1,2,1,5,8,7,115,142,"Auckland",1
2011,"Total",5,0,0,0,0,1,1,0,2,4,1,4,7,12,19,23,169,248,"Auckland",1
2012,"Male",2,0,0,0,0,1,1,1,0,1,1,3,3,2,10,12,47,84,"Auckland",1
2012,"Female",2,0,0,0,0,0,0,1,0,0,1,4,5,5,5,8,98,129,"Auckland",1
2012,"Total",4,0,0,0,0,1,1,2,0,1,2,7,8,7,15,20,145,213,"Auckland",1
2013,"Male",0,0,0,0,0,0,1,1,0,1,2,2,11,11,10,4,52,95,"Auckland",1
2013,"Female",4,0,0,0,0,1,0,0,2,3,4,2,4,3,6,12,90,131,"Auckland",1
2013,"Total",4,0,0,0,0,1,1,1,2,4,6,4,15,14,16,16,142,226,"Auckland",1
2006,"Male",1,0,0,1,1,0,0,3,2,2,2,6,3,4,7,5,17,54,"Counties Manukau",1
2006,"Female",0,0,0,0,0,0,1,0,2,2,1,4,2,1,2,4,22,41,"Counties Manukau",1
2006,"Total",1,0,0,1,1,0,1,3,4,4,3,10,5,5,9,9,39,95,"Counties Manukau",1
2007,"Male",1,0,0,1,2,1,0,0,0,1,2,4,5,6,7,8,16,54,"Counties Manukau",1
2007,"Female",2,0,0,0,0,0,0,1,2,0,2,1,2,2,4,8,16,40,"Counties Manukau",1
2007,"Total",3,0,0,1,2,1,0,1,2,1,4,5,7,8,11,16,32,94,"Counties Manukau",1
2008,"Male",1,0,0,1,0,0,1,0,0,4,3,4,5,5,8,11,14,57,"Counties Manukau",1
2008,"Female",2,0,0,0,0,0,0,0,1,0,1,3,2,4,5,2,24,44,"Counties Manukau",1
2008,"Total",3,0,0,1,0,0,1,0,1,4,4,7,7,9,13,13,38,101,"Counties Manukau",1
2009,"Male",2,0,0,0,1,0,0,0,0,2,4,3,2,12,7,7,23,63,"Counties Manukau",1
2009,"Female",0,0,0,0,1,1,0,1,1,1,3,2,1,5,2,7,16,41,"Counties Manukau",1
2009,"Total",2,0,0,0,2,1,0,1,1,3,7,5,3,17,9,14,39,104,"Counties Manukau",1
2010,"Male",1,0,0,0,0,0,0,0,1,3,4,6,3,6,9,9,25,67,"Counties Manukau",1
2010,"Female",1,0,0,0,0,0,0,0,0,1,1,4,1,8,4,2,31,53,"Counties Manukau",1
2010,"Total",2,0,0,0,0,0,0,0,1,4,5,10,4,14,13,11,56,120,"Counties Manukau",1
2011,"Male",1,0,0,0,0,0,0,0,2,2,4,2,3,2,7,6,11,40,"Counties Manukau",1
2011,"Female",0,0,0,0,1,0,0,1,1,3,1,2,8,5,1,6,27,56,"Counties Manukau",1
2011,"Total",1,0,0,0,1,0,0,1,3,5,5,4,11,7,8,12,38,96,"Counties Manukau",1
2012,"Male",2,0,0,2,1,1,0,0,0,0,1,5,1,7,10,9,20,59,"Counties Manukau",1
2012,"Female",3,0,0,1,0,0,0,0,1,2,3,1,4,8,4,3,26,56,"Counties Manukau",1
2012,"Total",5,0,0,3,1,1,0,0,1,2,4,6,5,15,14,12,46,115,"Counties Manukau",1
2013,"Male",2,0,0,1,0,1,0,0,0,1,2,6,3,9,5,7,26,63,"Counties Manukau",1
2013,"Female",1,0,0,0,0,0,0,0,0,3,2,3,1,6,3,7,22,48,"Counties Manukau",1
2013,"Total",3,0,0,1,0,1,0,0,0,4,4,9,4,15,8,14,48,111,"Counties Manukau",1
2006,"Male",2,0,0,1,1,2,0,1,0,0,1,2,3,2,3,2,18,38,"Waikato",1
2006,"Female",2,0,0,0,1,1,0,0,1,0,2,1,3,1,1,4,29,46,"Waikato",1
2006,"Total",4,0,0,1,2,3,0,1,1,0,3,3,6,3,4,6,47,84,"Waikato",1
2007,"Male",1,0,0,1,0,0,0,0,0,2,0,0,3,2,9,6,18,42,"Waikato",1
2007,"Female",1,0,0,0,0,0,0,1,0,2,2,2,1,1,2,5,25,42,"Waikato",1
2007,"Total",2,0,0,1,0,0,0,1,0,4,2,2,4,3,11,11,43,84,"Waikato",1
2008,"Male",1,0,0,0,2,0,0,0,1,4,2,4,4,2,5,6,18,49,"Waikato",1
2008,"Female",0,0,0,0,0,0,0,0,1,1,1,4,5,0,2,7,25,46,"Waikato",1
2008,"Total",1,0,0,0,2,0,0,0,2,5,3,8,9,2,7,13,43,95,"Waikato",1
2009,"Male",5,0,0,0,0,0,0,0,2,2,0,0,2,6,4,5,18,44,"Waikato",1
2009,"Female",0,0,0,0,1,0,0,0,0,0,0,2,3,0,3,5,20,34,"Waikato",1
2009,"Total",5,0,0,0,1,0,0,0,2,2,0,2,5,6,7,10,38,78,"Waikato",1
2010,"Male",1,1,0,1,0,0,0,1,1,2,0,3,3,5,7,9,16,50,"Waikato",1
2010,"Female",1,0,0,0,0,0,0,0,1,0,1,3,5,1,3,4,28,47,"Waikato",1
2010,"Total",2,1,0,1,0,0,0,1,2,2,1,6,8,6,10,13,44,97,"Waikato",1
2011,"Male",1,0,0,0,0,2,0,1,2,3,0,2,3,8,7,6,24,59,"Waikato",1
2011,"Female",0,0,0,0,0,0,1,0,1,1,3,3,1,2,8,4,24,48,"Waikato",1
2011,"Total",1,0,0,0,0,2,1,1,3,4,3,5,4,10,15,10,48,107,"Waikato",1
