"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total","reg","dep"
2010,"Female",2,0,0,0,0,0,1,0,2,1,0,4,4,4,6,9,87,120,"Auckland",1
2010,"Total",3,0,0,1,0,0,1,0,2,5,2,5,8,11,18,19,147,222,"Auckland",1
2011,"Male",4,0,0,0,0,1,0,0,2,2,0,1,6,7,11,14,54,102,"Auckland",1
2011,"Female",1,0,0,0,0,0,0,0,0,2,1,2,1,5,8,7,114,141,"Auckland",1
2011,"Total",5,0,0,0,0,1,0,0,2,4,1,3,7,12,19,21,168,243,"Auckland",1
2012,"Male",2,0,0,0,0,1,1,1,0,1,1,2,3,2,10,12,46,82,"Auckland",1
2012,"Female",2,0,0,0,0,0,0,0,0,0,1,4,5,5,5,8,98,128,"Auckland",1
2012,"Total",4,0,0,0,0,1,1,1,0,1,2,6,8,7,15,20,144,210,"Auckland",1
2013,"Male",0,0,0,0,0,0,1,1,0,1,2,2,10,11,10,4,52,94,"Auckland",1
2013,"Female",4,0,0,0,0,1,0,0,0,3,4,1,4,3,5,11,90,126,"Auckland",1
2013,"Total",4,0,0,0,0,1,1,1,0,4,6,3,14,14,15,15,142,220,"Auckland",1
2006,"Male",1,0,0,1,1,0,0,3,2,2,2,5,3,4,7,5,17,53,"Counties Manukau",1
2006,"Female",0,0,0,0,0,0,1,0,1,2,1,4,2,1,2,4,22,40,"Counties Manukau",1
2006,"Total",1,0,0,1,1,0,1,3,3,4,3,9,5,5,9,9,39,93,"Counties Manukau",1
2007,"Male",1,0,0,1,2,1,0,0,0,1,2,4,5,6,7,8,16,54,"Counties Manukau",1
2007,"Female",2,0,0,0,0,0,0,1,2,0,2,1,2,1,4,7,15,37,"Counties Manukau",1
2007,"Total",3,0,0,1,2,1,0,1,2,1,4,5,7,7,11,15,31,91,"Counties Manukau",1
2008,"Male",1,0,0,1,0,0,1,0,0,4,2,4,5,5,8,11,13,55,"Counties Manukau",1
2008,"Female",2,0,0,0,0,0,0,0,1,0,1,3,2,4,5,2,24,44,"Counties Manukau",1
2008,"Total",3,0,0,1,0,0,1,0,1,4,3,7,7,9,13,13,37,99,"Counties Manukau",1
2009,"Male",2,0,0,0,1,0,0,0,0,2,3,3,2,12,7,7,22,61,"Counties Manukau",1
2009,"Female",0,0,0,0,1,0,0,1,1,1,3,2,1,5,2,7,16,40,"Counties Manukau",1
2009,"Total",2,0,0,0,2,0,0,1,1,3,6,5,3,17,9,14,38,101,"Counties Manukau",1
2010,"Male",1,0,0,0,0,0,0,0,1,3,4,5,3,6,9,9,25,66,"Counties Manukau",1
2010,"Female",0,0,0,0,0,0,0,0,0,1,1,4,1,7,4,2,31,51,"Counties Manukau",1
2010,"Total",1,0,0,0,0,0,0,0,1,4,5,9,4,13,13,11,56,117,"Counties Manukau",1
2011,"Male",1,0,0,0,0,0,0,0,2,2,2,2,3,2,7,6,11,38,"Counties Manukau",1
2011,"Female",0,0,0,0,1,0,0,1,0,3,1,1,8,4,1,6,26,52,"Counties Manukau",1
2011,"Total",1,0,0,0,1,0,0,1,2,5,3,3,11,6,8,12,37,90,"Counties Manukau",1
2012,"Male",1,0,0,1,1,1,0,0,0,0,1,5,1,7,8,9,20,55,"Counties Manukau",1
2012,"Female",3,0,0,0,0,0,0,0,0,2,3,1,4,7,4,3,26,53,"Counties Manukau",1
2012,"Total",4,0,0,1,1,1,0,0,0,2,4,6,5,14,12,12,46,108,"Counties Manukau",1
2013,"Male",2,0,0,0,0,1,0,0,0,1,1,6,3,9,4,7,26,60,"Counties Manukau",1
2013,"Female",1,0,0,0,0,0,0,0,0,3,2,3,1,6,3,7,21,47,"Counties Manukau",1
2013,"Total",3,0,0,0,0,1,0,0,0,4,3,9,4,15,7,14,47,107,"Counties Manukau",1
2006,"Male",2,0,0,0,1,2,0,1,0,0,1,2,3,1,3,2,17,35,"Waikato",1
2006,"Female",1,0,0,0,1,1,0,0,1,0,2,0,3,1,1,4,29,44,"Waikato",1
2006,"Total",3,0,0,0,2,3,0,1,1,0,3,2,6,2,4,6,46,79,"Waikato",1
2007,"Male",1,0,0,0,0,0,0,0,0,2,0,0,3,2,9,6,18,41,"Waikato",1
2007,"Female",1,0,0,0,0,0,0,1,0,1,2,2,0,1,2,5,24,39,"Waikato",1
2007,"Total",2,0,0,0,0,0,0,1,0,3,2,2,3,3,11,11,42,80,"Waikato",1
2008,"Male",1,0,0,0,2,0,0,0,0,4,2,3,4,2,5,6,18,47,"Waikato",1
2008,"Female",0,0,0,0,0,0,0,0,1,1,1,4,4,0,2,7,24,44,"Waikato",1
2008,"Total",1,0,0,0,2,0,0,0,1,5,3,7,8,2,7,13,42,91,"Waikato",1
2009,"Male",4,0,0,0,0,0,0,0,2,2,0,0,1,6,4,5,18,42,"Waikato",1
2009,"Female",0,0,0,0,1,0,0,0,0,0,0,2,3,0,3,5,20,34,"Waikato",1
2009,"Total",4,0,0,0,1,0,0,0,2,2,0,2,4,6,7,10,38,76,"Waikato",1
2010,"Male",1,1,0,1,0,0,0,1,0,2,0,3,2,4,6,9,16,46,"Waikato",1
2010,"Female",0,0,0,0,0,0,0,0,1,0,0,2,4,1,2,4,27,41,"Waikato",1
2010,"Total",1,1,0,1,0,0,0,1,1,2,0,5,6,5,8,13,43,87,"Waikato",1
2011,"Male",1,0,0,0,0,1,0,1,0,3,0,2,2,8,7,6,24,55,"Waikato",1
2011,"Female",0,0,0,0,0,0,0,0,1,1,3,2,1,2,7,4,24,45,"Waikato",1
2011,"Total",1,0,0,0,0,1,0,1,1,4,3,4,3,10,14,10,48,100,"Waikato",1
2012,"Male",0,0,0,0,1,0,0,1,1,1,1,1,1,4,10,5,27,53,"Waikato",1
2012,"Female",2,0,0,0,0,0,0,1,0,1,2,1,2,5,1,6,29,50,"Waikato",1
